Day,Continent,Country,Province,total_deaths sim0,total_deaths sim1,total_deaths sim2,total_deaths sim3,total_deaths sim4,total_deaths sim5,total_deaths sim6,total_deaths sim7,total_deaths sim8,total_deaths sim9,total_deaths sim10,total_deaths sim11,total_deaths sim12,total_deaths sim13,total_deaths sim14,total_deaths sim15,total_deaths sim16,total_deaths sim17,total_deaths sim18,total_deaths sim19,total_deaths sim20,total_deaths sim21,total_deaths sim22,total_deaths sim23,total_deaths sim24,total_deaths sim25,total_deaths sim26,total_deaths sim27,total_deaths sim28,total_deaths sim29,total_deaths sim30,total_deaths sim31,total_deaths sim32,total_deaths sim33,total_deaths sim34,total_deaths sim35,total_deaths sim36,total_deaths sim37,total_deaths sim38,total_deaths sim39,total_deaths sim40,total_deaths sim41,total_deaths sim42,total_deaths sim43,total_deaths sim44,total_deaths sim45,total_deaths sim46,total_deaths sim47,total_deaths sim48,total_deaths sim49,total_deaths sim50,total_deaths sim51,total_deaths sim52,total_deaths sim53,total_deaths sim54,total_deaths sim55,total_deaths sim56,total_deaths sim57,total_deaths sim58,total_deaths sim59,total_deaths sim60,total_deaths sim61,total_deaths sim62,total_deaths sim63,total_deaths sim64,total_deaths sim65,total_deaths sim66,total_deaths sim67,total_deaths sim68,total_deaths sim69,total_deaths sim70,total_deaths sim71,total_deaths sim72,total_deaths sim73,total_deaths sim74,total_deaths sim75,total_deaths sim76,total_deaths sim77,total_deaths sim78,total_deaths sim79,total_deaths sim80,total_deaths sim81,total_deaths sim82,total_deaths sim83,total_deaths sim84,total_deaths sim85,total_deaths sim86,total_deaths sim87,total_deaths sim88,total_deaths sim89,total_deaths sim90,total_deaths sim91,total_deaths sim92,total_deaths sim93,total_deaths sim94,total_deaths sim95,total_deaths sim96,total_deaths sim97,total_deaths sim98,total_deaths sim99
2020-06-24,Asia,Singapore,None,47.0,108.0,48.0,40.0,90.0,75.0,82.0,34.0,74.0,40.0,40.0,61.0,68.0,76.0,80.0,71.0,54.0,63.0,72.0,55.0,72.0,62.0,71.0,43.0,54.0,57.0,56.0,125.0,80.0,28.0,34.0,68.0,116.0,69.0,67.0,63.0,50.0,72.0,40.0,75.0,71.0,75.0,31.0,88.0,67.0,68.0,43.0,85.0,40.0,74.0,75.0,76.0,97.0,92.0,77.0,53.0,75.0,90.0,55.0,44.0,57.0,47.0,86.0,83.0,71.0,93.0,49.0,77.0,51.0,105.0,82.0,77.0,80.0,75.0,89.0,89.0,51.0,71.0,84.0,113.0,87.0,74.0,89.0,75.0,70.0,77.0,67.0,70.0,59.0,58.0,69.0,65.0,73.0,90.0,88.0,81.0,74.0,98.0,117.0,82.0
2020-06-25,Asia,Singapore,None,47.0,109.0,48.0,40.0,90.0,76.0,83.0,34.0,74.0,40.0,40.0,61.0,68.0,77.0,80.0,72.0,54.0,63.0,73.0,55.0,73.0,62.0,71.0,43.0,54.0,57.0,56.0,126.0,81.0,28.0,34.0,68.0,117.0,70.0,67.0,63.0,50.0,72.0,40.0,76.0,72.0,76.0,31.0,89.0,68.0,68.0,43.0,85.0,40.0,75.0,75.0,77.0,98.0,93.0,77.0,53.0,75.0,90.0,55.0,44.0,57.0,48.0,86.0,84.0,71.0,93.0,50.0,77.0,51.0,106.0,83.0,78.0,81.0,75.0,89.0,89.0,51.0,71.0,84.0,115.0,87.0,75.0,90.0,76.0,70.0,78.0,68.0,71.0,60.0,58.0,69.0,65.0,73.0,91.0,89.0,81.0,74.0,99.0,118.0,82.0
2020-06-26,Asia,Singapore,None,47.0,110.0,48.0,40.0,91.0,76.0,83.0,34.0,74.0,40.0,40.0,61.0,69.0,77.0,81.0,72.0,54.0,63.0,73.0,55.0,73.0,62.0,71.0,43.0,54.0,57.0,56.0,127.0,81.0,28.0,34.0,68.0,118.0,70.0,67.0,63.0,50.0,72.0,40.0,76.0,72.0,76.0,31.0,89.0,68.0,68.0,43.0,86.0,40.0,75.0,75.0,77.0,98.0,93.0,78.0,54.0,76.0,91.0,55.0,44.0,57.0,48.0,87.0,84.0,72.0,94.0,50.0,77.0,51.0,107.0,83.0,78.0,81.0,75.0,90.0,90.0,52.0,72.0,85.0,116.0,88.0,75.0,90.0,76.0,70.0,78.0,68.0,71.0,60.0,58.0,69.0,65.0,74.0,91.0,89.0,82.0,74.0,99.0,120.0,83.0
2020-06-27,Asia,Singapore,None,47.0,111.0,48.0,40.0,91.0,77.0,84.0,34.0,75.0,40.0,40.0,61.0,69.0,77.0,81.0,72.0,55.0,63.0,73.0,55.0,73.0,63.0,72.0,43.0,54.0,57.0,57.0,129.0,82.0,28.0,34.0,69.0,119.0,70.0,68.0,63.0,50.0,73.0,40.0,76.0,72.0,76.0,31.0,90.0,68.0,68.0,43.0,86.0,40.0,76.0,76.0,78.0,99.0,94.0,78.0,54.0,76.0,92.0,56.0,44.0,57.0,48.0,87.0,85.0,72.0,95.0,50.0,78.0,52.0,108.0,83.0,79.0,81.0,76.0,90.0,90.0,52.0,72.0,85.0,117.0,89.0,75.0,91.0,76.0,71.0,79.0,68.0,71.0,60.0,59.0,70.0,65.0,74.0,92.0,90.0,82.0,75.0,100.0,121.0,83.0
2020-06-28,Asia,Singapore,None,47.0,111.0,48.0,40.0,92.0,77.0,84.0,34.0,75.0,40.0,40.0,62.0,69.0,78.0,81.0,73.0,55.0,63.0,73.0,55.0,74.0,63.0,72.0,43.0,54.0,58.0,57.0,130.0,82.0,28.0,34.0,69.0,120.0,70.0,68.0,63.0,50.0,73.0,40.0,77.0,73.0,77.0,31.0,91.0,68.0,69.0,43.0,87.0,41.0,76.0,76.0,78.0,100.0,94.0,78.0,54.0,76.0,92.0,56.0,44.0,57.0,48.0,88.0,85.0,72.0,95.0,50.0,78.0,52.0,109.0,84.0,79.0,82.0,76.0,91.0,91.0,52.0,72.0,86.0,118.0,89.0,76.0,91.0,77.0,71.0,79.0,68.0,72.0,60.0,59.0,70.0,65.0,74.0,93.0,90.0,82.0,75.0,101.0,122.0,84.0
2020-06-29,Asia,Singapore,None,47.0,112.0,48.0,41.0,92.0,77.0,85.0,34.0,75.0,40.0,40.0,62.0,69.0,78.0,82.0,73.0,55.0,64.0,74.0,55.0,74.0,63.0,72.0,43.0,54.0,58.0,57.0,131.0,83.0,28.0,34.0,69.0,121.0,71.0,68.0,64.0,50.0,73.0,40.0,77.0,73.0,77.0,31.0,91.0,69.0,69.0,43.0,87.0,41.0,76.0,76.0,78.0,100.0,95.0,79.0,54.0,77.0,93.0,56.0,44.0,58.0,48.0,88.0,86.0,73.0,96.0,50.0,78.0,52.0,109.0,84.0,79.0,82.0,77.0,91.0,91.0,52.0,73.0,86.0,119.0,90.0,76.0,92.0,77.0,71.0,79.0,69.0,72.0,61.0,59.0,70.0,66.0,74.0,93.0,91.0,83.0,75.0,102.0,123.0,84.0
2020-06-30,Asia,Singapore,None,48.0,113.0,48.0,41.0,93.0,78.0,85.0,34.0,76.0,40.0,40.0,62.0,70.0,78.0,82.0,73.0,55.0,64.0,74.0,55.0,74.0,63.0,72.0,43.0,55.0,58.0,57.0,132.0,83.0,28.0,34.0,69.0,122.0,71.0,68.0,64.0,51.0,73.0,40.0,77.0,73.0,77.0,31.0,91.0,69.0,69.0,43.0,88.0,41.0,76.0,77.0,79.0,101.0,96.0,79.0,54.0,77.0,93.0,56.0,44.0,58.0,48.0,89.0,86.0,73.0,96.0,50.0,79.0,52.0,110.0,85.0,80.0,83.0,77.0,92.0,92.0,52.0,73.0,86.0,120.0,90.0,76.0,92.0,77.0,72.0,80.0,69.0,72.0,61.0,59.0,70.0,66.0,75.0,94.0,91.0,83.0,75.0,102.0,124.0,84.0
2020-05-12,Asia,Singapore,None,34.0,47.0,36.0,32.0,45.0,43.0,44.0,30.0,42.0,32.0,32.0,40.0,41.0,43.0,43.0,41.0,38.0,39.0,42.0,39.0,43.0,40.0,42.0,33.0,37.0,39.0,39.0,48.0,43.0,25.0,29.0,41.0,48.0,42.0,41.0,40.0,37.0,42.0,32.0,43.0,42.0,43.0,27.0,45.0,41.0,42.0,33.0,44.0,32.0,43.0,43.0,42.0,46.0,45.0,43.0,37.0,43.0,45.0,39.0,33.0,37.0,35.0,44.0,45.0,42.0,45.0,35.0,43.0,37.0,47.0,44.0,43.0,44.0,42.0,45.0,45.0,37.0,41.0,44.0,47.0,44.0,43.0,45.0,43.0,41.0,43.0,41.0,42.0,38.0,38.0,40.0,41.0,42.0,45.0,45.0,44.0,42.0,46.0,48.0,44.0
2020-05-13,Asia,Singapore,None,35.0,48.0,37.0,32.0,46.0,44.0,45.0,30.0,44.0,33.0,32.0,41.0,42.0,44.0,45.0,42.0,39.0,40.0,43.0,39.0,44.0,41.0,43.0,33.0,38.0,40.0,39.0,50.0,45.0,25.0,29.0,42.0,49.0,43.0,42.0,41.0,38.0,43.0,32.0,44.0,43.0,44.0,27.0,46.0,42.0,43.0,33.0,45.0,33.0,44.0,44.0,43.0,48.0,46.0,44.0,38.0,44.0,46.0,39.0,33.0,38.0,36.0,46.0,46.0,43.0,47.0,35.0,44.0,38.0,48.0,45.0,44.0,45.0,43.0,46.0,46.0,38.0,42.0,45.0,49.0,46.0,44.0,46.0,44.0,42.0,44.0,42.0,43.0,39.0,39.0,41.0,42.0,43.0,46.0,46.0,45.0,43.0,47.0,49.0,45.0
2020-05-14,Asia,Singapore,None,35.0,50.0,37.0,33.0,47.0,45.0,46.0,30.0,45.0,33.0,32.0,42.0,43.0,45.0,46.0,43.0,39.0,41.0,44.0,40.0,45.0,42.0,44.0,34.0,38.0,41.0,40.0,52.0,46.0,26.0,29.0,43.0,51.0,44.0,43.0,42.0,38.0,45.0,32.0,45.0,44.0,45.0,28.0,47.0,43.0,44.0,33.0,47.0,33.0,45.0,45.0,44.0,49.0,48.0,45.0,38.0,45.0,48.0,40.0,34.0,39.0,36.0,47.0,47.0,44.0,48.0,36.0,45.0,38.0,50.0,46.0,45.0,46.0,44.0,47.0,47.0,39.0,43.0,47.0,51.0,47.0,45.0,47.0,45.0,43.0,45.0,43.0,44.0,39.0,40.0,42.0,42.0,44.0,48.0,47.0,46.0,45.0,49.0,51.0,46.0
2020-05-15,Asia,Singapore,None,36.0,52.0,38.0,33.0,49.0,46.0,48.0,30.0,46.0,33.0,33.0,42.0,44.0,46.0,47.0,44.0,40.0,42.0,45.0,41.0,46.0,43.0,45.0,34.0,39.0,41.0,41.0,54.0,47.0,26.0,30.0,44.0,53.0,45.0,44.0,43.0,39.0,46.0,33.0,46.0,45.0,46.0,28.0,49.0,44.0,45.0,34.0,48.0,33.0,46.0,46.0,45.0,51.0,49.0,46.0,39.0,46.0,49.0,41.0,34.0,39.0,37.0,48.0,48.0,45.0,49.0,36.0,46.0,39.0,51.0,47.0,46.0,48.0,45.0,49.0,49.0,39.0,44.0,48.0,52.0,48.0,46.0,49.0,46.0,44.0,46.0,44.0,45.0,40.0,41.0,43.0,43.0,45.0,49.0,49.0,47.0,46.0,50.0,53.0,47.0
2020-05-16,Asia,Singapore,None,36.0,53.0,39.0,33.0,50.0,47.0,49.0,30.0,47.0,34.0,33.0,43.0,45.0,47.0,48.0,45.0,41.0,43.0,46.0,41.0,47.0,43.0,46.0,34.0,40.0,42.0,42.0,56.0,48.0,26.0,30.0,45.0,55.0,46.0,45.0,44.0,39.0,47.0,33.0,47.0,46.0,47.0,28.0,50.0,45.0,46.0,34.0,49.0,34.0,47.0,47.0,46.0,52.0,51.0,48.0,40.0,47.0,50.0,41.0,35.0,40.0,37.0,49.0,50.0,46.0,51.0,37.0,47.0,40.0,53.0,49.0,48.0,49.0,46.0,50.0,50.0,40.0,45.0,49.0,54.0,50.0,47.0,50.0,47.0,45.0,48.0,45.0,46.0,41.0,41.0,44.0,44.0,47.0,50.0,50.0,48.0,47.0,52.0,55.0,49.0
2020-05-17,Asia,Singapore,None,37.0,55.0,39.0,34.0,51.0,48.0,50.0,31.0,48.0,34.0,33.0,44.0,46.0,48.0,49.0,46.0,41.0,44.0,47.0,42.0,48.0,44.0,47.0,35.0,40.0,43.0,42.0,58.0,49.0,26.0,30.0,46.0,56.0,47.0,46.0,44.0,40.0,48.0,33.0,48.0,47.0,48.0,28.0,51.0,46.0,47.0,35.0,51.0,34.0,48.0,49.0,47.0,54.0,52.0,49.0,40.0,48.0,52.0,42.0,35.0,41.0,38.0,51.0,51.0,47.0,52.0,37.0,49.0,40.0,55.0,50.0,49.0,50.0,47.0,51.0,51.0,41.0,46.0,50.0,56.0,51.0,48.0,51.0,48.0,46.0,49.0,46.0,47.0,42.0,42.0,45.0,45.0,48.0,52.0,51.0,50.0,48.0,53.0,57.0,50.0
2020-05-18,Asia,Singapore,None,37.0,57.0,39.0,34.0,53.0,49.0,51.0,31.0,49.0,34.0,34.0,45.0,47.0,49.0,50.0,47.0,42.0,44.0,48.0,43.0,49.0,45.0,48.0,35.0,41.0,44.0,43.0,60.0,51.0,26.0,30.0,47.0,58.0,48.0,47.0,45.0,40.0,49.0,34.0,49.0,48.0,49.0,28.0,53.0,47.0,47.0,35.0,52.0,34.0,49.0,50.0,49.0,55.0,53.0,50.0,41.0,49.0,53.0,43.0,36.0,41.0,38.0,52.0,52.0,48.0,54.0,38.0,50.0,41.0,56.0,51.0,50.0,51.0,48.0,53.0,53.0,41.0,47.0,51.0,58.0,52.0,49.0,53.0,49.0,47.0,50.0,47.0,48.0,42.0,43.0,46.0,46.0,49.0,53.0,52.0,51.0,49.0,55.0,58.0,51.0
2020-05-19,Asia,Singapore,None,38.0,58.0,40.0,34.0,54.0,50.0,52.0,31.0,50.0,35.0,34.0,45.0,48.0,51.0,52.0,48.0,43.0,45.0,49.0,43.0,50.0,46.0,49.0,36.0,42.0,44.0,43.0,61.0,52.0,26.0,30.0,48.0,60.0,49.0,48.0,46.0,41.0,50.0,34.0,50.0,49.0,50.0,28.0,54.0,48.0,48.0,35.0,53.0,35.0,50.0,51.0,50.0,57.0,55.0,51.0,41.0,50.0,54.0,43.0,36.0,42.0,39.0,53.0,53.0,49.0,55.0,38.0,51.0,41.0,58.0,52.0,51.0,52.0,49.0,54.0,54.0,42.0,48.0,53.0,59.0,53.0,50.0,54.0,50.0,48.0,51.0,48.0,49.0,43.0,43.0,47.0,47.0,50.0,54.0,54.0,52.0,50.0,56.0,60.0,52.0
2020-05-20,Asia,Singapore,None,38.0,60.0,40.0,35.0,55.0,51.0,53.0,31.0,51.0,35.0,34.0,46.0,49.0,52.0,53.0,49.0,43.0,46.0,50.0,44.0,51.0,47.0,50.0,36.0,42.0,45.0,44.0,63.0,53.0,26.0,31.0,49.0,62.0,50.0,48.0,47.0,41.0,51.0,34.0,51.0,50.0,51.0,28.0,55.0,49.0,49.0,36.0,54.0,35.0,51.0,52.0,51.0,58.0,56.0,52.0,42.0,51.0,56.0,44.0,36.0,43.0,39.0,54.0,54.0,50.0,56.0,39.0,52.0,42.0,59.0,53.0,52.0,53.0,50.0,55.0,55.0,42.0,49.0,54.0,61.0,55.0,51.0,55.0,51.0,48.0,52.0,49.0,50.0,44.0,44.0,48.0,48.0,51.0,56.0,55.0,53.0,51.0,58.0,62.0,53.0
2020-05-21,Asia,Singapore,None,39.0,61.0,41.0,35.0,57.0,52.0,55.0,31.0,52.0,35.0,35.0,47.0,50.0,53.0,54.0,50.0,44.0,47.0,51.0,44.0,52.0,47.0,51.0,36.0,43.0,45.0,45.0,65.0,54.0,26.0,31.0,50.0,63.0,51.0,49.0,48.0,42.0,51.0,35.0,52.0,51.0,52.0,29.0,57.0,49.0,50.0,36.0,55.0,35.0,52.0,53.0,52.0,59.0,57.0,53.0,43.0,52.0,57.0,45.0,37.0,43.0,39.0,56.0,56.0,51.0,58.0,39.0,53.0,42.0,61.0,55.0,53.0,55.0,51.0,57.0,56.0,43.0,50.0,55.0,63.0,56.0,52.0,57.0,52.0,49.0,53.0,50.0,51.0,45.0,45.0,48.0,48.0,51.0,57.0,56.0,54.0,52.0,59.0,64.0,54.0
2020-05-22,Asia,Singapore,None,39.0,63.0,41.0,35.0,58.0,53.0,56.0,31.0,53.0,35.0,35.0,47.0,51.0,54.0,55.0,51.0,44.0,47.0,52.0,45.0,53.0,48.0,52.0,37.0,43.0,46.0,45.0,67.0,55.0,27.0,31.0,50.0,65.0,52.0,50.0,48.0,42.0,52.0,35.0,53.0,52.0,53.0,29.0,58.0,50.0,51.0,36.0,57.0,36.0,53.0,54.0,53.0,61.0,59.0,54.0,43.0,53.0,58.0,45.0,37.0,44.0,40.0,57.0,57.0,52.0,59.0,40.0,54.0,43.0,63.0,56.0,54.0,56.0,52.0,58.0,58.0,43.0,50.0,56.0,64.0,57.0,53.0,58.0,53.0,50.0,54.0,50.0,52.0,45.0,45.0,49.0,49.0,52.0,58.0,58.0,55.0,53.0,61.0,65.0,55.0
2020-05-23,Asia,Singapore,None,39.0,65.0,42.0,35.0,59.0,54.0,57.0,32.0,54.0,36.0,35.0,48.0,51.0,55.0,56.0,52.0,45.0,48.0,53.0,45.0,54.0,49.0,53.0,37.0,44.0,47.0,46.0,69.0,56.0,27.0,31.0,51.0,67.0,52.0,51.0,49.0,43.0,53.0,35.0,54.0,53.0,54.0,29.0,59.0,51.0,52.0,37.0,58.0,36.0,54.0,55.0,54.0,62.0,60.0,55.0,44.0,54.0,60.0,46.0,37.0,45.0,40.0,58.0,58.0,53.0,60.0,40.0,55.0,43.0,64.0,57.0,55.0,57.0,53.0,59.0,59.0,44.0,51.0,57.0,66.0,58.0,54.0,59.0,54.0,51.0,55.0,51.0,53.0,46.0,46.0,50.0,50.0,53.0,59.0,59.0,56.0,54.0,62.0,67.0,57.0
2020-05-24,Asia,Singapore,None,40.0,66.0,42.0,36.0,60.0,55.0,58.0,32.0,55.0,36.0,35.0,49.0,52.0,56.0,57.0,53.0,45.0,49.0,54.0,46.0,54.0,49.0,53.0,37.0,44.0,47.0,46.0,71.0,57.0,27.0,31.0,52.0,69.0,53.0,52.0,50.0,43.0,54.0,35.0,55.0,54.0,55.0,29.0,60.0,52.0,53.0,37.0,59.0,36.0,55.0,55.0,55.0,64.0,61.0,56.0,44.0,55.0,61.0,46.0,38.0,45.0,41.0,59.0,59.0,53.0,62.0,41.0,56.0,44.0,66.0,58.0,56.0,58.0,54.0,60.0,60.0,44.0,52.0,59.0,68.0,60.0,55.0,60.0,55.0,52.0,56.0,52.0,54.0,46.0,47.0,51.0,51.0,54.0,61.0,60.0,58.0,54.0,63.0,69.0,58.0
